date,isexit,isguard,bwread,bwwrite,dirread,dirwrite
2019-01-25,,,,,16,272
2019-01-26,,,,,98,998
2019-01-27,,,,,87,848
2019-01-28,,,,,406,4645
2019-01-29,,,,,2417,16875
2019-01-30,,,,,4261,32479
2019-01-31,,,,,924847,23704589
2019-02-01,,,,,3676560,89926479
2019-02-02,,,,,3894253,89318568
2019-02-03,,,,,3725695,86211295
2019-02-04,,,,,3886827,105781301
2019-02-05,f,f,1048768801,1059874580,,
2019-02-05,f,t,4903570383,4963176918,,
2019-02-05,t,f,436661333,425095272,,
2019-02-05,t,t,2013689005,2005246594,,
2019-02-05,,,,,3111682,73381593
2019-02-06,f,f,171882305,173140117,,
2019-02-06,f,t,667036500,675638117,,
2019-02-06,t,f,42049755,34727718,,
2019-02-06,t,t,175924635,174369275,,
2019-02-06,,,,,395653,10295850
