date,source,position,q1,md,q3
2019-02-03,,1,139,450,860
2019-02-03,,2,81,180,279
2019-02-03,,3,169,260,360
2019-02-03,op-ab,1,129,180,247
2019-02-03,op-ab,2,61,89,140
2019-02-03,op-ab,3,111,169,260
2019-02-03,op-hk,1,1099,1220,1361
2019-02-03,op-hk,2,276,310,350
2019-02-03,op-hk,3,321,370,443
2019-02-03,op-nl,1,69,89,187
2019-02-03,op-nl,2,50,80,157
2019-02-03,op-nl,3,93,180,279
2019-02-03,op-us,1,640,700,759
2019-02-03,op-us,2,160,181,220
2019-02-03,op-us,3,210,260,330
2019-02-04,,1,139,419,779
2019-02-04,,2,81,170,250
2019-02-04,,3,161,250,360
2019-02-04,op-ab,1,139,180,259
2019-02-04,op-ab,2,69,99,170
2019-02-04,op-ab,3,119,181,280
2019-02-04,op-hk,1,1089,1230,1379
2019-02-04,op-hk,2,280,320,350
2019-02-04,op-hk,3,329,380,460
2019-02-04,op-nl,1,59,89,169
2019-02-04,op-nl,2,50,80,161
2019-02-04,op-nl,3,99,170,280
2019-02-04,op-us,1,630,690,740
2019-02-04,op-us,2,160,181,230
2019-02-04,op-us,3,210,260,349
2019-02-05,,1,129,470,930
2019-02-05,,2,89,170,270
2019-02-05,,3,169,260,370
2019-02-05,op-ab,1,129,180,259
2019-02-05,op-ab,2,61,91,161
2019-02-05,op-ab,3,111,189,271
2019-02-05,op-hk,1,1089,1230,1374
2019-02-05,op-hk,2,280,320,351
2019-02-05,op-hk,3,340,391,470
2019-02-05,op-nl,1,69,89,159
2019-02-05,op-nl,2,50,81,131
2019-02-05,op-nl,3,109,170,260
2019-02-05,op-us,1,620,670,720
2019-02-05,op-us,2,160,180,230
2019-02-05,op-us,3,210,250,340
