date,node,country,transport,version,lower,upper,clients,frac
2019-02-05,bridge,,,,,,47514,79
2019-02-05,bridge,,,v4,,,47475,79
2019-02-05,bridge,,,v6,,,40,79
2019-02-05,bridge,,<OR>,,,,1154,79
2019-02-05,bridge,,fte,,,,0,79
2019-02-05,bridge,,meek,,,,8913,79
2019-02-05,bridge,,obfs3,,,,3273,79
2019-02-05,bridge,,obfs4,,,,34171,79
2019-02-05,bridge,,scramblesuit,,,,2,79
2019-02-05,bridge,,snowflake,,,,1,79
2019-02-05,bridge,??,,,,,97,79
2019-02-05,bridge,ad,,,,,2,79
2019-02-05,bridge,ae,,,,,1093,79
2019-02-05,bridge,af,,,,,18,79
2019-02-05,bridge,ag,,,,,3,79
2019-02-05,bridge,al,,,,,23,79
2019-02-05,bridge,am,,,,,26,79
2019-02-05,bridge,ao,,,,,10,79
2019-02-05,bridge,ar,,,,,147,79
2019-02-05,bridge,as,,,,,1,79
2019-02-05,bridge,at,,,,,150,79
2019-02-05,bridge,au,,,,,426,79
2019-02-05,bridge,aw,,,,,2,79
2019-02-05,bridge,az,,,,,37,79
2019-02-05,bridge,ba,,,,,22,79
2019-02-05,bridge,bb,,,,,3,79
2019-02-05,bridge,bd,,,,,233,79
2019-02-05,bridge,be,,,,,120,79
2019-02-05,bridge,bf,,,,,3,79
2019-02-05,bridge,bg,,,,,64,79
2019-02-05,bridge,bh,,,,,20,79
2019-02-05,bridge,bi,,,,,3,79
2019-02-05,bridge,bj,,,,,12,79
2019-02-05,bridge,bm,,,,,1,79
2019-02-05,bridge,bn,,,,,2,79
2019-02-05,bridge,bo,,,,,23,79
2019-02-05,bridge,bq,,,,,4,79
2019-02-05,bridge,br,,,,,1723,79
2019-02-05,bridge,bs,,,,,3,79
2019-02-05,bridge,bt,,,,,2,79
2019-02-05,bridge,bw,,,,,8,79
2019-02-05,bridge,by,,,,,1215,79
2019-02-05,bridge,bz,,,,,4,79
2019-02-05,bridge,ca,,,,,542,79
2019-02-05,bridge,cd,,,,,12,79
2019-02-05,bridge,cf,,,,,1,79
2019-02-05,bridge,cg,,,,,4,79
2019-02-05,bridge,ch,,,,,312,79
2019-02-05,bridge,ci,,,,,28,79
2019-02-05,bridge,cl,,,,,81,79
2019-02-05,bridge,cm,,,,,31,79
2019-02-05,bridge,cn,,,,,764,79
2019-02-05,bridge,co,,,,,134,79
2019-02-05,bridge,cr,,,,,19,79
2019-02-05,bridge,cu,,,,,20,79
2019-02-05,bridge,cv,,,,,4,79
2019-02-05,bridge,cw,,,,,1,79
2019-02-05,bridge,cy,,,,,13,79
2019-02-05,bridge,cz,,,,,118,79
2019-02-05,bridge,de,,,,,1540,79
2019-02-05,bridge,dj,,,,,2,79
2019-02-05,bridge,dk,,,,,58,79
2019-02-05,bridge,dm,,,,,3,79
2019-02-05,bridge,do,,,,,39,79
2019-02-05,bridge,dz,,,,,241,79
2019-02-05,bridge,ec,,,,,45,79
2019-02-05,bridge,ee,,,,,25,79
2019-02-05,bridge,eg,,,,,971,79
2019-02-05,bridge,es,,,,,338,79
2019-02-05,bridge,et,,,,,53,79
2019-02-05,bridge,fi,,,,,179,79
2019-02-05,bridge,fj,,,,,4,79
2019-02-05,bridge,fr,,,,,908,79
2019-02-05,bridge,ga,,,,,4,79
2019-02-05,bridge,gb,,,,,1324,79
2019-02-05,bridge,ge,,,,,46,79
2019-02-05,bridge,gf,,,,,4,79
2019-02-05,bridge,gg,,,,,1,79
2019-02-05,bridge,gh,,,,,57,79
2019-02-05,bridge,gi,,,,,1,79
2019-02-05,bridge,gl,,,,,2,79
2019-02-05,bridge,gm,,,,,4,79
2019-02-05,bridge,gn,,,,,3,79
