date,source,server,low,q1,md,q3,high
2019-02-03,op-ab,onion,150,290,415,550,940
2019-02-03,op-ab,public,100,295,460,630,1060
2019-02-03,op-hk,onion,580,727,820,970,1310
2019-02-03,op-hk,public,440,580,660,740,970
2019-02-03,op-nl,onion,150,297,410,502,810
2019-02-03,op-nl,public,60,130,240,340,590
2019-02-03,op-us,onion,370,480,570,722,1040
2019-02-03,op-us,public,280,350,390,480,670
2019-02-04,op-ab,onion,150,290,440,540,900
2019-02-04,op-ab,public,130,320,430,660,1110
2019-02-04,op-hk,onion,600,740,830,960,1260
2019-02-04,op-hk,public,410,550,640,710,910
2019-02-04,op-nl,onion,110,272,400,537,900
2019-02-04,op-nl,public,40,130,240,360,690
2019-02-04,op-us,onion,360,490,570,670,910
2019-02-04,op-us,public,240,380,420,580,870
2019-02-05,op-ab,onion,160,340,465,560,840
2019-02-05,op-ab,public,70,300,440,630,1090
2019-02-05,op-hk,onion,500,720,800,932,1150
2019-02-05,op-hk,public,450,590,650,730,940
2019-02-05,op-nl,onion,130,290,400,510,810
2019-02-05,op-nl,public,30,130,225,320,600
2019-02-05,op-us,onion,370,450,555,690,980
2019-02-05,op-us,public,250,360,410,500,700
