date,source,server,low,q1,md,q3,high
2019-02-03,op-ab,onion,1310,2288,2892,4427,6553
2019-02-03,op-ab,public,1222,2797,3871,8388,11335
2019-02-03,op-hk,onion,903,1348,1487,1726,2056
2019-02-03,op-hk,public,1306,2291,3061,3994,5178
2019-02-03,op-nl,onion,819,2356,3584,5309,8738
2019-02-03,op-nl,public,1061,3143,6078,7557,11037
2019-02-03,op-us,onion,1431,1811,2336,2672,3201
2019-02-03,op-us,public,680,3524,4369,5592,7767
2019-02-04,op-ab,onion,195,1983,2856,4314,7626
2019-02-04,op-ab,public,1625,4092,6932,11571,19972
2019-02-04,op-hk,onion,1255,1511,1588,1708,1831
2019-02-04,op-hk,public,168,2143,3131,3874,5667
2019-02-04,op-nl,onion,5,2036,2680,4144,7108
2019-02-04,op-nl,public,2557,3434,5762,8856,14463
2019-02-04,op-us,onion,720,1997,2173,2912,3437
2019-02-04,op-us,public,79,3206,4236,5629,6990
2019-02-05,op-ab,onion,750,1613,2219,2974,4993
2019-02-05,op-ab,public,519,3061,5522,8609,15534
2019-02-05,op-hk,onion,48,1035,1482,1815,2279
2019-02-05,op-hk,public,1530,2496,3017,3956,5518
2019-02-05,op-nl,onion,275,2270,3108,5377,7489
2019-02-05,op-nl,public,449,3166,5712,8570,15534
2019-02-05,op-us,onion,187,1607,2066,2892,4236
2019-02-05,op-us,public,194,2741,3615,6168,8559
