date,filesize,source,server,q1,md,q3,timeouts,failures,requests
2019-02-03,51200,,onion,3425,4660,5835,3,0,441
2019-02-03,51200,,public,865,1230,1820,0,0,466
2019-02-03,51200,op-ab,onion,4300,5530,7640,1,0,110
2019-02-03,51200,op-ab,public,670,1090,1490,0,0,125
2019-02-03,51200,op-hk,onion,5110,5560,6170,2,0,111
2019-02-03,51200,op-hk,public,1760,1950,2240,0,0,113
2019-02-03,51200,op-nl,onion,2225,2775,3720,0,0,108
2019-02-03,51200,op-nl,public,420,780,1090,0,0,117
2019-02-03,51200,op-us,onion,3615,4190,4890,0,0,112
2019-02-03,51200,op-us,public,1070,1200,1460,0,0,111
2019-02-03,1048576,,onion,6050,8970,11020,1,0,86
2019-02-03,1048576,,public,2558,3525,5370,0,0,84
2019-02-03,1048576,op-ab,onion,5935,9700,11450,0,0,19
2019-02-03,1048576,op-ab,public,2900,3860,5455,0,0,15
2019-02-03,1048576,op-hk,onion,9870,10610,11875,0,0,27
2019-02-03,1048576,op-hk,public,4175,5340,6028,0,0,20
2019-02-03,1048576,op-nl,onion,3640,4650,7530,1,0,22
2019-02-03,1048576,op-nl,public,1458,2470,3705,0,0,20
2019-02-03,1048576,op-us,onion,6603,7340,10693,0,0,18
2019-02-03,1048576,op-us,public,2620,3060,3680,0,0,29
2019-02-03,5242880,,onion,18695,23620,29520,0,0,40
2019-02-03,5242880,,public,7070,10420,14895,0,0,35
2019-02-03,5242880,op-ab,onion,16483,18930,22120,0,0,12
2019-02-03,5242880,op-ab,public,6245,9000,9475,0,0,7
2019-02-03,5242880,op-hk,onion,27083,34475,36130,0,0,8
2019-02-03,5242880,op-hk,public,13330,15240,21280,0,0,9
2019-02-03,5242880,op-nl,onion,14710,23620,27723,0,0,10
2019-02-03,5242880,op-nl,public,6105,7540,16830,0,0,11
2019-02-03,5242880,op-us,onion,21838,23315,30515,0,0,10
2019-02-03,5242880,op-us,public,7265,9770,11530,0,0,8
2019-02-04,51200,,onion,3430,4400,5860,69,0,468
2019-02-04,51200,,public,888,1295,1903,1,0,461
2019-02-04,51200,op-ab,onion,4360,5450,7325,2,0,125
2019-02-04,51200,op-ab,public,715,960,1385,0,0,107
2019-02-04,51200,op-hk,onion,5568,6010,7008,67,0,117
2019-02-04,51200,op-hk,public,1770,1950,2205,0,0,123
2019-02-04,51200,op-nl,onion,2325,2950,3815,0,0,108
2019-02-04,51200,op-nl,public,410,810,1120,1,0,118
2019-02-04,51200,op-us,onion,3583,4065,4713,0,0,118
2019-02-04,51200,op-us,public,1120,1270,1600,0,0,113
2019-02-04,1048576,,onion,5790,8260,10690,6,0,81
2019-02-04,1048576,,public,1903,3145,4593,0,0,78
2019-02-04,1048576,op-ab,onion,7470,9500,15110,0,0,23
2019-02-04,1048576,op-ab,public,1515,1890,3615,0,0,19
2019-02-04,1048576,op-hk,onion,10315,10715,11010,6,0,12
2019-02-04,1048576,op-hk,public,3838,4675,5580,0,0,18
2019-02-04,1048576,op-nl,onion,4850,6010,8370,0,0,27
2019-02-04,1048576,op-nl,public,1130,2030,3193,0,0,20
2019-02-04,1048576,op-us,onion,6720,7890,9270,0,0,19
2019-02-04,1048576,op-us,public,2520,3340,4880,0,0,21
2019-02-04,5242880,,onion,15320,21280,27030,6,0,39
2019-02-04,5242880,,public,9280,11510,15860,0,0,25
2019-02-04,5242880,op-ab,onion,13100,15320,21685,0,0,7
2019-02-04,5242880,op-ab,public,6955,9420,13560,0,0,7
2019-02-04,5242880,op-hk,onion,33740,34630,42640,5,0,10
2019-02-04,5242880,op-hk,public,12355,19160,32063,0,0,8
2019-02-04,5242880,op-nl,onion,11065,20210,24255,0,0,11
