date,node,country,transport,version,frac,low,high
2019-02-05,bridge,??,<OR>,,79,37,47
2019-02-05,bridge,??,meek,,79,0,1
2019-02-05,bridge,??,obfs3,,79,0,2
2019-02-05,bridge,??,obfs4,,79,50,57
2019-02-05,bridge,ad,<OR>,,79,0,2
2019-02-05,bridge,ad,meek,,79,0,1
2019-02-05,bridge,ad,obfs4,,79,0,1
2019-02-05,bridge,ae,<OR>,,79,11,40
2019-02-05,bridge,ae,meek,,79,46,53
2019-02-05,bridge,ae,obfs3,,79,142,147
2019-02-05,bridge,ae,obfs4,,79,864,885
2019-02-05,bridge,ae,scramblesuit,,79,0,0
2019-02-05,bridge,ae,snowflake,,79,0,0
2019-02-05,bridge,af,<OR>,,79,0,10
2019-02-05,bridge,af,meek,,79,0,7
2019-02-05,bridge,af,obfs4,,79,8,11
2019-02-05,bridge,ag,<OR>,,79,1,3
2019-02-05,bridge,ag,meek,,79,0,1
2019-02-05,bridge,ag,obfs4,,79,0,1
2019-02-05,bridge,al,<OR>,,79,0,5
2019-02-05,bridge,al,meek,,79,0,1
2019-02-05,bridge,al,obfs3,,79,0,1
2019-02-05,bridge,al,obfs4,,79,18,21
2019-02-05,bridge,am,<OR>,,79,0,8
2019-02-05,bridge,am,meek,,79,0,3
2019-02-05,bridge,am,obfs3,,79,0,2
2019-02-05,bridge,am,obfs4,,79,19,22
2019-02-05,bridge,ao,<OR>,,79,0,9
2019-02-05,bridge,ao,meek,,79,0,5
2019-02-05,bridge,ao,obfs3,,79,0,1
2019-02-05,bridge,ao,obfs4,,79,1,4
2019-02-05,bridge,ar,<OR>,,79,1,15
2019-02-05,bridge,ar,meek,,79,20,27
2019-02-05,bridge,ar,obfs3,,79,4,7
2019-02-05,bridge,ar,obfs4,,79,108,113
2019-02-05,bridge,as,<OR>,,79,0,1
2019-02-05,bridge,as,obfs4,,79,0,1
2019-02-05,bridge,at,<OR>,,79,2,21
2019-02-05,bridge,at,fte,,79,0,0
2019-02-05,bridge,at,meek,,79,14,22
2019-02-05,bridge,at,obfs3,,79,4,9
2019-02-05,bridge,at,obfs4,,79,110,120
2019-02-05,bridge,au,<OR>,,79,14,45
2019-02-05,bridge,au,fte,,79,0,0
2019-02-05,bridge,au,meek,,79,68,76
2019-02-05,bridge,au,obfs3,,79,30,34
2019-02-05,bridge,au,obfs4,,79,282,305
2019-02-05,bridge,aw,<OR>,,79,0,2
2019-02-05,bridge,aw,meek,,79,0,1
2019-02-05,bridge,aw,obfs3,,79,0,1
2019-02-05,bridge,az,<OR>,,79,1,8
2019-02-05,bridge,az,meek,,79,0,3
2019-02-05,bridge,az,obfs3,,79,0,1
2019-02-05,bridge,az,obfs4,,79,29,32
2019-02-05,bridge,ba,<OR>,,79,1,6
2019-02-05,bridge,ba,meek,,79,0,1
2019-02-05,bridge,ba,obfs3,,79,0,1
2019-02-05,bridge,ba,obfs4,,79,16,19
2019-02-05,bridge,bb,<OR>,,79,0,2
2019-02-05,bridge,bb,meek,,79,0,1
2019-02-05,bridge,bb,obfs4,,79,0,2
2019-02-05,bridge,bd,<OR>,,79,3,14
2019-02-05,bridge,bd,meek,,79,18,25
2019-02-05,bridge,bd,obfs3,,79,11,13
2019-02-05,bridge,bd,obfs4,,79,190,193
2019-02-05,bridge,be,<OR>,,79,1,23
2019-02-05,bridge,be,meek,,79,10,17
2019-02-05,bridge,be,obfs3,,79,6,9
2019-02-05,bridge,be,obfs4,,79,82,94
2019-02-05,bridge,bf,<OR>,,79,0,3
2019-02-05,bridge,bf,obfs4,,79,0,3
2019-02-05,bridge,bg,<OR>,,79,1,20
2019-02-05,bridge,bg,meek,,79,2,9
2019-02-05,bridge,bg,obfs3,,79,3,5
2019-02-05,bridge,bg,obfs4,,79,39,50
2019-02-05,bridge,bh,<OR>,,79,0,9
2019-02-05,bridge,bh,meek,,79,0,5
2019-02-05,bridge,bh,obfs3,,79,0,1
2019-02-05,bridge,bh,obfs4,,79,11,14
2019-02-05,bridge,bi,<OR>,,79,0,3
2019-02-05,bridge,bi,meek,,79,0,1
2019-02-05,bridge,bi,obfs4,,79,0,2
2019-02-05,bridge,bj,<OR>,,79,0,10
2019-02-05,bridge,bj,meek,,79,2,9
2019-02-05,bridge,bj,obfs4,,79,0,3
2019-02-05,bridge,bm,<OR>,,79,0,1
2019-02-05,bridge,bm,obfs3,,79,0,1
2019-02-05,bridge,bn,<OR>,,79,0,2
2019-02-05,bridge,bn,obfs4,,79,0,2
2019-02-05,bridge,bo,<OR>,,79,0,11
2019-02-05,bridge,bo,meek,,79,0,7
2019-02-05,bridge,bo,obfs3,,79,0,1
2019-02-05,bridge,bo,obfs4,,79,12,15
2019-02-05,bridge,bq,<OR>,,79,1,3
2019-02-05,bridge,bq,obfs4,,79,0,3
2019-02-05,bridge,br,<OR>,,79,6,26
2019-02-05,bridge,br,fte,,79,0,0
2019-02-05,bridge,br,meek,,79,1155,1163
2019-02-05,bridge,br,obfs3,,79,20,23
2019-02-05,bridge,br,obfs4,,79,522,532
2019-02-05,bridge,bs,<OR>,,79,1,2
2019-02-05,bridge,bs,obfs4,,79,0,2
2019-02-05,bridge,bt,<OR>,,79,0,2
2019-02-05,bridge,bt,obfs4,,79,0,2
2019-02-05,bridge,bw,<OR>,,79,1,3
2019-02-05,bridge,bw,obfs4,,79,5,7
2019-02-05,bridge,by,<OR>,,79,22,65
2019-02-05,bridge,by,meek,,79,52,60
2019-02-05,bridge,by,obfs3,,79,142,146
2019-02-05,bridge,by,obfs4,,79,956,989
2019-02-05,bridge,by,scramblesuit,,79,0,0
2019-02-05,bridge,bz,<OR>,,79,0,3
2019-02-05,bridge,bz,obfs3,,79,0,1
2019-02-05,bridge,bz,obfs4,,79,1,2
2019-02-05,bridge,ca,<OR>,,79,29,55
2019-02-05,bridge,ca,fte,,79,0,0
2019-02-05,bridge,ca,meek,,79,115,122
2019-02-05,bridge,ca,obfs3,,79,25,29
2019-02-05,bridge,ca,obfs4,,79,346,363
2019-02-05,bridge,ca,scramblesuit,,79,0,0
2019-02-05,bridge,cd,<OR>,,79,1,8
2019-02-05,bridge,cd,meek,,79,0,5
2019-02-05,bridge,cd,obfs4,,79,4,6
2019-02-05,bridge,cf,<OR>,,79,0,1
2019-02-05,bridge,cf,meek,,79,0,1
2019-02-05,bridge,cg,<OR>,,79,0,4
2019-02-05,bridge,cg,meek,,79,0,1
2019-02-05,bridge,cg,obfs4,,79,0,3
2019-02-05,bridge,ch,<OR>,,79,3,45
2019-02-05,bridge,ch,meek,,79,24,31
2019-02-05,bridge,ch,obfs3,,79,10,11
2019-02-05,bridge,ch,obfs4,,79,233,267
2019-02-05,bridge,ci,<OR>,,79,0,9
2019-02-05,bridge,ci,meek,,79,0,5
2019-02-05,bridge,ci,obfs3,,79,0,1
2019-02-05,bridge,ci,obfs4,,79,19,22
2019-02-05,bridge,cl,<OR>,,79,1,16
2019-02-05,bridge,cl,meek,,79,14,21
2019-02-05,bridge,cl,obfs3,,79,3,4
2019-02-05,bridge,cl,obfs4,,79,48,54
2019-02-05,bridge,cm,<OR>,,79,0,9
2019-02-05,bridge,cm,meek,,79,0,5
2019-02-05,bridge,cm,obfs3,,79,3,4
2019-02-05,bridge,cm,obfs4,,79,19,21
2019-02-05,bridge,cn,<OR>,,79,7,29
2019-02-05,bridge,cn,fte,,79,0,0
2019-02-05,bridge,cn,meek,,79,676,684
2019-02-05,bridge,cn,obfs3,,79,4,10
2019-02-05,bridge,cn,obfs4,,79,53,68
2019-02-05,bridge,cn,scramblesuit,,79,0,0
2019-02-05,bridge,cn,snowflake,,79,0,0
2019-02-05,bridge,co,<OR>,,79,1,13
2019-02-05,bridge,co,meek,,79,12,19
2019-02-05,bridge,co,obfs3,,79,6,7
2019-02-05,bridge,co,obfs4,,79,104,107
2019-02-05,bridge,cr,<OR>,,79,1,6
2019-02-05,bridge,cr,meek,,79,0,1
2019-02-05,bridge,cr,obfs3,,79,0,1
2019-02-05,bridge,cr,obfs4,,79,13,16
2019-02-05,bridge,cu,<OR>,,79,0,8
2019-02-05,bridge,cu,meek,,79,0,3
2019-02-05,bridge,cu,obfs3,,79,3,4
2019-02-05,bridge,cu,obfs4,,79,10,13
2019-02-05,bridge,cv,<OR>,,79,0,4
2019-02-05,bridge,cv,meek,,79,0,1
2019-02-05,bridge,cv,obfs4,,79,0,3
2019-02-05,bridge,cw,<OR>,,79,0,1
2019-02-05,bridge,cw,obfs4,,79,0,1
2019-02-05,bridge,cy,<OR>,,79,1,7
2019-02-05,bridge,cy,meek,,79,0,1
2019-02-05,bridge,cy,obfs3,,79,0,1
2019-02-05,bridge,cy,obfs4,,79,7,10
2019-02-05,bridge,cz,<OR>,,79,2,21
2019-02-05,bridge,cz,meek,,79,6,13
2019-02-05,bridge,cz,obfs3,,79,8,10
2019-02-05,bridge,cz,obfs4,,79,82,92
2019-02-05,bridge,de,<OR>,,79,63,112
2019-02-05,bridge,de,meek,,79,276,283
2019-02-05,bridge,de,obfs3,,79,91,99
2019-02-05,bridge,de,obfs4,,79,1061,1101
2019-02-05,bridge,de,scramblesuit,,79,0,0
2019-02-05,bridge,dj,<OR>,,79,1,2
2019-02-05,bridge,dj,meek,,79,0,1
2019-02-05,bridge,dj,obfs4,,79,0,0
2019-02-05,bridge,dk,<OR>,,79,1,14
2019-02-05,bridge,dk,meek,,79,0,7
2019-02-05,bridge,dk,obfs3,,79,0,2
2019-02-05,bridge,dk,obfs4,,79,44,48
2019-02-05,bridge,dm,<OR>,,79,0,3
2019-02-05,bridge,dm,meek,,79,0,1
2019-02-05,bridge,dm,obfs4,,79,0,2
2019-02-05,bridge,do,<OR>,,79,1,13
2019-02-05,bridge,do,meek,,79,4,11
2019-02-05,bridge,do,obfs3,,79,0,2
2019-02-05,bridge,do,obfs4,,79,22,26
2019-02-05,bridge,dz,<OR>,,79,9,25
2019-02-05,bridge,dz,meek,,79,24,31
2019-02-05,bridge,dz,obfs3,,79,3,5
2019-02-05,bridge,dz,obfs4,,79,189,196
2019-02-05,bridge,ec,<OR>,,79,1,12
2019-02-05,bridge,ec,meek,,79,2,9
2019-02-05,bridge,ec,obfs3,,79,0,1
2019-02-05,bridge,ec,obfs4,,79,31,34
2019-02-05,bridge,ee,<OR>,,79,1,9
2019-02-05,bridge,ee,meek,,79,0,3
2019-02-05,bridge,ee,obfs3,,79,1,3
2019-02-05,bridge,ee,obfs4,,79,15,17
2019-02-05,bridge,eg,<OR>,,79,1,25
2019-02-05,bridge,eg,meek,,79,40,47
2019-02-05,bridge,eg,obfs3,,79,64,65
2019-02-05,bridge,eg,obfs4,,79,843,858
2019-02-05,bridge,es,<OR>,,79,8,33
2019-02-05,bridge,es,meek,,79,58,66
2019-02-05,bridge,es,obfs3,,79,10,12
2019-02-05,bridge,es,obfs4,,79,237,253
2019-02-05,bridge,et,<OR>,,79,0,7
2019-02-05,bridge,et,meek,,79,0,3
2019-02-05,bridge,et,obfs3,,79,1,3
2019-02-05,bridge,et,obfs4,,79,44,47
2019-02-05,bridge,fi,<OR>,,79,1,22
2019-02-05,bridge,fi,meek,,79,28,35
2019-02-05,bridge,fi,obfs3,,79,8,11
2019-02-05,bridge,fi,obfs4,,79,120,132
2019-02-05,bridge,fj,<OR>,,79,0,4
2019-02-05,bridge,fj,meek,,79,0,1
2019-02-05,bridge,fj,obfs4,,79,0,3
2019-02-05,bridge,fr,<OR>,,79,12,45
2019-02-05,bridge,fr,fte,,79,0,0
2019-02-05,bridge,fr,meek,,79,231,239
2019-02-05,bridge,fr,obfs3,,79,38,44
2019-02-05,bridge,fr,obfs4,,79,593,617
2019-02-05,bridge,fr,scramblesuit,,79,0,0
2019-02-05,bridge,ga,<OR>,,79,0,3
