log_date,request_type,platform,channel,locale,incremental,count
2019-02-01,tbid,l,a,??,,1
2019-02-01,tbid,l,a,ar,,7
2019-02-01,tbid,l,a,ca,,5
2019-02-01,tbid,l,a,cs,,14
2019-02-01,tbid,l,a,da,,4
2019-02-01,tbid,l,a,de,,8
2019-02-01,tbid,l,a,el,,7
2019-02-01,tbid,l,a,en-US,,50
2019-02-01,tbid,l,a,es-ES,,11
2019-02-01,tbid,l,a,fa,,12
2019-02-01,tbid,l,a,fr,,15
2019-02-01,tbid,l,a,ga-IE,,5
2019-02-01,tbid,l,a,he,,9
2019-02-01,tbid,l,a,hu,,8
2019-02-01,tbid,l,a,id,,6
2019-02-01,tbid,l,a,is,,8
2019-02-01,tbid,l,a,it,,11
2019-02-01,tbid,l,a,ja,,7
2019-02-01,tbid,l,a,ka,,13
2019-02-01,tbid,l,a,ko,,8
2019-02-01,tbid,l,a,nb-NO,,6
2019-02-01,tbid,l,a,nl,,9
2019-02-01,tbid,l,a,pl,,5
2019-02-01,tbid,l,a,pt-BR,,7
2019-02-01,tbid,l,a,ru,,20
2019-02-01,tbid,l,a,sv-SE,,4
2019-02-01,tbid,l,a,tr,,6
2019-02-01,tbid,l,a,vi,,6
2019-02-01,tbid,l,a,zh-CN,,7
2019-02-01,tbid,l,a,zh-TW,,4
2019-02-01,tbid,l,r,??,,1
2019-02-01,tbid,l,r,ar,,22
2019-02-01,tbid,l,r,ca,,12
2019-02-01,tbid,l,r,da,,4
2019-02-01,tbid,l,r,de,,184
2019-02-01,tbid,l,r,en-US,,2041
2019-02-01,tbid,l,r,es-ES,,101
2019-02-01,tbid,l,r,fa,,8
2019-02-01,tbid,l,r,fr,,111
2019-02-01,tbid,l,r,ga-IE,,2
2019-02-01,tbid,l,r,he,,6
2019-02-01,tbid,l,r,id,,13
2019-02-01,tbid,l,r,is,,8
2019-02-01,tbid,l,r,it,,52
2019-02-01,tbid,l,r,ja,,13
2019-02-01,tbid,l,r,ko,,5
2019-02-01,tbid,l,r,nb-NO,,4
2019-02-01,tbid,l,r,nl,,18
2019-02-01,tbid,l,r,pl,,25
2019-02-01,tbid,l,r,pt-BR,,50
2019-02-01,tbid,l,r,ru,,205
2019-02-01,tbid,l,r,sv-SE,,6
2019-02-01,tbid,l,r,tr,,8
2019-02-01,tbid,l,r,vi,,4
2019-02-01,tbid,l,r,zh-CN,,13
2019-02-01,tbid,l,r,zh-TW,,8
2019-02-01,tbid,m,a,ar,,4
2019-02-01,tbid,m,a,ca,,2
2019-02-01,tbid,m,a,cs,,4
2019-02-01,tbid,m,a,da,,1
2019-02-01,tbid,m,a,de,,6
2019-02-01,tbid,m,a,el,,3
2019-02-01,tbid,m,a,en-US,,27
2019-02-01,tbid,m,a,es-ES,,2
2019-02-01,tbid,m,a,fa,,5
2019-02-01,tbid,m,a,fr,,5
2019-02-01,tbid,m,a,ga-IE,,3
2019-02-01,tbid,m,a,he,,3
2019-02-01,tbid,m,a,hu,,2
2019-02-01,tbid,m,a,id,,2
2019-02-01,tbid,m,a,is,,6
2019-02-01,tbid,m,a,it,,2
2019-02-01,tbid,m,a,ja,,3
2019-02-01,tbid,m,a,ka,,4
2019-02-01,tbid,m,a,ko,,5
2019-02-01,tbid,m,a,nb-NO,,3
2019-02-01,tbid,m,a,nl,,2
2019-02-01,tbid,m,a,pt-BR,,3
2019-02-01,tbid,m,a,ru,,13
2019-02-01,tbid,m,a,sv-SE,,5
2019-02-01,tbid,m,a,tr,,2
2019-02-01,tbid,m,a,vi,,5
2019-02-01,tbid,m,a,zh-CN,,3
